,o1,o2,>,<,typical
7312,animal ear,giraffe mane,71,797,<
7313,locomotive train,bush,99,17,>
7314,flip cellphone,controll button,619,16,>
7315,chair cat,carpeting,87,25,>
7316,water body,duck boat,397,93,>
7317,fruit bowl,oil spot,176,7,>
7318,animal ear,plant,103,514,<
7319,soccer shirt,lady player,23,107,<
7320,water outlet,fire hydrant,10,128,<
7321,apartment window,train station building,2,118,<
7322,freezer part,stuff pizza,11,136,<
7323,brick,raincoat,30,78,<
7324,baby sheep,amber eye,112,1,>
7325,pizza,souffle cup,95,6,>
7326,shirt button,twist tie,40,196,<
7327,baby cat,cat tail,243,51,>
7328,motorcycle wheel,road side,56,183,<
7329,fruit pile,apple,504,164,>
7330,crowd,baseball cap,231,24,>
7331,wrinkle,ground elephant,24,159,<
7332,powder snow,winter sport,25,165,<
7333,car,airport truck,29,71,<
7334,part,jacket skier,4,136,<
7335,collard shirt,kitchen light,96,11,>
7336,skateboard,suv,78,29,>
7337,policeman,traffic light,118,18,>
7338,picket fence,fire hydrant,38,137,<
7339,chrome motorcycle,carpet,190,24,>
7340,tuxedo cat,cat fur,1476,212,>
7341,window shutter,house cat,146,26,>
7342,snow glove,winter tree,7,107,<
7343,desk,keyboard,253,83,>
7344,baseball bat,stripe,274,104,>
7345,bus windshield,service bus,88,284,<
7346,building window,bare tree,25,336,<
7347,train truck,freight train,9,124,<
7348,tennis court,baseball cap,349,7,>
7349,baseball player,t-shirt,196,17,>
7350,tennis court,tennis visor,907,24,>
7351,fork handle,dinner fork,24,148,<
7352,dirt patch,bush tree,98,302,<
7353,airplane door,air canada plane,4,117,<
7354,apple,fruit stand,15,92,<
7355,text,sign letter,789,84,>
7356,tree,edge field,27,88,<
7357,hour hand,tower top,64,557,<
7358,transit bus,bus side,97,7,>
7359,train cake,birthday cake,45,119,<
7360,shuttle bus,traffic arrow,100,8,>
7361,bear,brush head,598,63,>
7362,freezer part,pepperoni,46,266,<
7363,block letter,base ball player,4,115,<
7364,dog,bench leg,86,26,>
7365,platform,train number,94,11,>
7366,hotel bed,headboard,508,137,>
7367,glass,pepperoni pizza,18,325,<
7368,coach bus,bus door,163,21,>
7369,baseball uniform,base ball hat,682,48,>
7370,beach house,beach,83,196,<
7371,soccer shoe,tennis racket,26,136,<
7372,group,skiing glove,180,18,>
7373,porcelain vase,window section,160,0,>
7374,spaghetti strap shirt,wii controller,239,88,>
7375,microwave door,range microwave,74,184,<
7376,shirt,seat,30,74,<
7377,leaf,baby sheep,28,93,<
7378,shirt,couch,233,599,<
7379,weed,adult zebra,175,425,<
7380,person head,couple,4,152,<
7381,skiing helmet,ski top,43,131,<
7382,navel orange,label,287,26,>
7383,lettering,buildinga building,38,219,<
7384,herd animal,grass edge,80,21,>
7385,letter,door fridge,0,111,<
7386,baby elephant,pole,102,33,>
7387,bathroom toilet,toilet seat,1260,117,>
7388,bunch,potato,163,68,>
7389,dress shirt,amber light,162,5,>
7390,bathroom mirror,shampoo bottle,665,8,>
7391,skateboard trick,snowboard pant,128,3,>
7392,apple mouse,desk drawer,1,142,<
7393,zoo animal,zebra hoof,148,4,>
7394,view,river boat,114,33,>
7395,taxi cab,license plate,165,0,>
7396,baseball shoe,baseball pant,14,220,<
7397,pine forest,skiing glove,100,1,>
7398,toilet paper,mirror,1,131,<
7399,amber eye,tie,33,175,<
7400,surf board,swim shoe,85,15,>
7401,leaf,speed bike,2,107,<
7402,snow helmet,pair,52,140,<
7403,kid,pillow,126,28,>
7404,baby elephant,safari hat,165,22,>
7405,person head,baseball field,0,105,<
7406,cabinet door,wood plank,136,0,>
7407,batter hand,collard shirt,94,286,<
7408,aircraft,airplane wing,105,23,>
7409,post,sheep,52,140,<
7410,shuttle bus,bus windshield,649,266,>
7411,teddy bear,heart,791,67,>
7412,roof window,building clock,38,143,<
7413,window,motorcycle,28,155,<
7414,teddy bear,scarf,602,88,>
7415,eyeglass,park bench,4,96,<
7416,glass window,way sign,5,106,<
7417,table food,napkin,155,38,>
7418,bathroom sink counter,towel,222,45,>
7419,cat head,cat ear,1681,40,>
7420,cow tail,baby cow,1,152,<
7421,tree trunk,zoo animal,162,394,<
7422,tv,stuff toy,81,19,>
7423,row window,wall building,18,84,<
7424,door knob,room door,0,130,<
7425,soup bowl,onion piece,211,12,>
7426,part,buildinga building,97,904,<
7427,suit,cell phone,124,25,>
7428,hotel building,water body,14,101,<
7429,board surfer,bottom,216,30,>
7430,sunglass,powder snow,212,1642,<
7431,taxi car,apartment building,5,103,<
7432,apple usb keyboard,computer mouse,398,31,>
7433,zebra stripe,giraffe spot,162,68,>
7434,farm animal,sheep dog,209,59,>
7435,delta plane,airline name,142,18,>
7436,bath tub,towel rack,104,2,>
7437,bus license plate,bus front,28,172,<
7438,sign letter,time clock,24,94,<
7439,chimney top,part,92,34,>
7440,tv,entertainment center,67,226,<
7441,balloon,shirt,20,104,<
7442,toilet,graffiti letter,114,5,>
7443,train engine,metal letter,221,8,>
7444,sweater,wine glass,433,104,>
7445,seaweed,beach,27,104,<
7446,controll button,keyboard,12,241,<
7447,shade tree,river rock,99,9,>
7448,window building,fire hydrant,110,24,>
7449,mother cow,calf,474,131,>
7450,fur,adult horse,0,135,<
7451,business,building window,95,9,>
7452,aeroplane,part,122,38,>
7453,license plate,lunch truck,0,123,<
7454,woman,powder snow,73,181,<
7455,window pane,bicycle,1,120,<
7456,service bus,bus front,588,79,>
7457,restaurant sign,part,106,6,>
7458,refrigerator,glass,102,20,>
7459,story brick building,town car,143,25,>
7460,tail section,motorbike,4,96,<
7461,purse,tree trunk,33,96,<
7462,snow suit,ski hill,20,88,<
7463,bathroom window,toilet seat,359,86,>
7464,window view,part,144,18,>
7465,baby horse,horse tail,1185,101,>
7466,kettle,kitchen stove,23,203,<
7467,curtain,faucet,110,0,>
7468,plane body,plane tail,201,45,>
7469,snow suit,skiing glove,212,10,>
7470,steeple,clock tower building,24,130,<
7471,baby,edge,235,12,>
7472,horse nose,bay horse,3,340,<
7473,ice,skiing glove,124,8,>
7474,shepherd dog,hind paw,113,4,>
7475,sale boat,sailboat,313,784,<
7476,shift key,glass,20,111,<
7477,train car door,train car,14,251,<
7478,egg,sausage,326,121,>
7479,chestnut horse,chain,133,5,>
7480,suit jacket,bowtie,197,19,>
7481,beer bottle,beer label,209,20,>
7482,motorcycle mirror,motorcycle,77,2000,<
7483,bus sign,bus roof,17,98,<
7484,traffic light,scooter,36,112,<
7485,cowboy hat,cow,40,233,<
7486,snout,bush tree,1,123,<
7487,city transit bus,bus mirror,112,0,>
7488,wrist watch,shirt,12,299,<
7489,shade tree,curb,137,28,>
7490,snow pant,snow shoe,110,22,>
7491,door knob,toilet seat,4,109,<
7492,person head,ski,2,232,<
7493,part,work shirt,36,203,<
7494,peacoat,decker bus,6,139,<
7495,lab dog,fire hydrant,126,23,>
7496,bed headboard,bedspread,18,127,<
7497,purse,market umbrella,142,628,<
7498,spoon handle,soup,15,119,<
7499,cell phone,chin,113,3,>
7500,rainbow,part,222,7,>
7501,us flag,iron leaf,116,7,>
7502,umpire uniform,baseball bat,329,67,>
7503,skateboard,skateboard wheel,6698,253,>
7504,bed comforter,bed headboard,122,29,>
7505,sidewalk crack,dog,31,95,<
7506,focus tree,grass field,74,321,<
7507,part,snow patch,40,128,<
7508,skate board trick,skateboard skater,92,20,>
7509,kid umbrella,sundress,161,43,>
7510,coffee table,television,81,25,>
7511,sweatshirt,plane kite,38,95,<
7512,cat whisker,cat face,22,127,<
7513,bed comforter,curtain,126,45,>
7514,sandwich plate,tartar sauce,376,33,>
7515,backpack,luggage,380,913,<
7516,coffee cup,laptop screen,9,112,<
7517,shower tile,shower head,253,101,>
7518,hotel room bed,headboard,469,116,>
7519,tennis top,tennis player,173,924,<
7520,headboard,bedspread,54,199,<
7521,tennis ball,field front,86,457,<
7522,pizza pan,pizza top,155,58,>
7523,brush head,zebra,268,912,<
7524,ear,fence,25,437,<
7525,giraffe head,animal ear,1635,74,>
7526,bush,train door,124,32,>
7527,tennis visor,tennis outfit,14,232,<
7528,car headlight,car front,24,105,<
7529,rock bird,twig,209,68,>
7530,skateboard,motorcycle part,105,11,>
7531,suit surfer,surfer riding wave,78,267,<
7532,child,baby,51,152,<
7533,fruit,apple stem,144,7,>
7534,town car,shopping bag,107,15,>
7535,passenger walkway,train front,280,68,>
7536,pillow,iron leaf,203,12,>
7537,bathroom light fixture,bathroom mirror,13,275,<
7538,baby giraffe,group,74,345,<
7539,skateboard trick,person skateboard,882,108,>
7540,fur hat,clydesdale horse,6,145,<
7541,fruit pile,cardboard box,116,42,>
7542,shade tree,car window,129,30,>
7543,mom elephant,fence post,218,22,>
7544,toast,breakfast plate,53,173,<
7545,sheep dog,tail tip,108,0,>
7546,spectator,circus elephant,44,165,<
7547,horse mane,chestnut horse,216,1056,<
7548,kitchen cabinet,stove top,226,32,>
7549,pair,sunglass guy,19,91,<
7550,mattress,pillow,340,67,>
7551,van,building front,246,99,>
7552,sleeve,collard shirt,26,82,<
7553,sheep face,lamb,36,318,<
7554,city clock,symbol,176,6,>
7555,ski coat,ski glove,122,21,>
7556,desktop monitor,computer desk,23,103,<
7557,couch,glass coffee table,199,48,>
7558,rail train,platform sign,675,17,>
7559,skateboard wheel,player pant,4,186,<
7560,surfer riding wave,lady head,231,9,>
7561,ball cap,baseball,35,111,<
7562,garage door,dormer window,291,3,>
7563,skate ramp,nike shirt,533,84,>
7564,dirt,gravel rock,146,56,>
7565,decker train,train top,251,47,>
7566,bow,ear,88,17,>
7567,sunglass,coca cola umbrella,49,218,<
7568,mitten,powder snow,84,388,<
7569,part,woman tennis player,43,164,<
7570,suv,tail light,262,8,>
7571,stripe shirt,stripe,119,9,>
7572,sun,part,662,113,>
7573,jean,freezer part,167,15,>
7574,train track,hat,100,8,>
7575,fence,cow field,38,94,<
7576,length mirror,lamp,143,46,>
7577,horse,street sign,179,1,>
7578,decker train,support column,99,13,>
7579,streamer,lizard kite,37,114,<
7580,column,umbrella,108,31,>
7581,pizza slice,water bottle,130,25,>
7582,snow patch,snow ski,19,99,<
7583,train roof,rail train,117,356,<
7584,flag,beach,45,152,<
7585,horse mane,person horse,33,294,<
7586,skateboarding,skating helmet,246,7,>
7587,cargo plane,plane wing,600,87,>
7588,bathroom tile,porcelain bathtub,5,121,<
7589,tuxedo cat,lotion bottle,126,22,>
7590,bolt,chain,21,313,<
7591,camera bag,sunglass,99,24,>
7592,kitchen floor tile,refrigerator,32,105,<
7593,truck front,truck headlight,278,50,>
7594,tow truck,truck window,134,0,>
7595,decker tour bus,part,309,25,>
7596,giraffe neck,part,438,73,>
7597,couch,wii control,357,25,>
7598,glass window,sweater,29,84,<
7599,tan,mom giraffe,261,793,<
7600,wine glass,spoon,336,54,>
7601,beach,swimsuit,188,43,>
7602,couch,cushion,200,24,>
7603,jelly donut,donut hole,260,16,>
7604,street light,size tree,34,165,<
7605,surfing,surf board,93,25,>
7606,label,fork,24,86,<
7607,seat,elephant,44,127,<
7608,kid shirt,kid hand,125,53,>
7609,macintosh keyboard,mac keyboard,39,94,<
7610,onion piece,fork,68,246,<
7611,cow field,rock,96,7,>
7612,breast feather,bird beak,401,56,>
7613,necktie,shirt button,198,56,>
7614,tower clock,church dome,77,263,<
7615,curtain,flatscreen tv,378,66,>
7616,field,zebra,452,178,>
7617,kitchen,steel refrigerator,105,41,>
7618,pepperoni pizza,pizza piece,97,10,>
7619,bacon,chili cheese dog,9,116,<
7620,tennis racket,racket handle,571,16,>
7621,pizza plate,butter knife,132,18,>
7622,door handle,town car,10,145,<
7623,dirt pile,dirt,68,178,<
7624,neck collar,dog,40,363,<
7625,sign letter,cop car,21,184,<
7626,table top,apple laptop,27,182,<
7627,water splash,surfer riding wave,40,235,<
7628,computer key,apple usb keyboard,3,173,<
7629,tail section,tree,29,147,<
7630,airplane tail,runway plane,14,88,<
7631,hotdog,letter,100,11,>
7632,flower vase,baby tree,9,110,<
7633,condiment cup,chili cheese dog,19,169,<
7634,cellphone,sunglass,195,74,>
7635,elephant trunk,dirt path,9,105,<
7636,dirt,baseball glove,569,65,>
7637,cross country skier,part,230,6,>
7638,spectator,frisbee,114,48,>
7639,street car,train station building,11,107,<
7640,navel orange,plate design,139,5,>
7641,police sign,police officer,10,93,<
7642,bike fender,bike,17,129,<
7643,person arm,group,20,327,<
7644,wine,necklace,91,11,>
7645,book,patch,154,2,>
7646,airline jet,plane engine,108,2,>
7647,breakfast plate,sausage,371,55,>
7648,roof car,car wheel,146,10,>
7649,horse hoof,bay horse,20,715,<
7650,bush branch,sign letter,215,20,>
7651,sheep leg,herd animal,19,268,<
7652,glass cake plate,reflection,96,8,>
7653,suit pocket,tie,16,144,<
7654,skateboarder arm,part,135,36,>
7655,amber eye,sweater,6,126,<
7656,pair,eyeglass guy,18,125,<
7657,power button,mac laptop,0,114,<
7658,building window,story apartment building,2,102,<
7659,bicycle,taxi van,99,28,>
7660,batter glove,baseball uniform,44,653,<
7661,food plate,dinner table,69,367,<
7662,leaf,row boat,10,150,<
7663,tennis racket,racket grip,354,5,>
7664,part,pointy roof,18,83,<
7665,bird tail,sea bird,26,1579,<
7666,fence wire,wire fence,41,114,<
7667,turtleneck shirt,ear,222,3,>
7668,sandal,surfboard,8,167,<
7669,skateboard,team shirt,110,22,>
7670,air canada airplane,airline name,127,2,>
7671,baseball batting helmet,guy,7,121,<
7672,track fence,pair,76,32,>
7673,cherry wood,bedspread,27,87,<
7674,sandwich plate,menu,120,34,>
7675,shrimp,lunch plate,37,113,<
7676,fireplace,flatscreen television,224,62,>
7677,railway,rail train,32,102,<
7678,flower bud,flower,88,432,<
7679,pizza sauce,crust pizza,26,113,<
7680,shirt,passenger train,8,343,<
7681,part,pant skier,6,353,<
7682,tree,airway plane,13,150,<
7683,bamboo pole,part,84,17,>
7684,roof car,car top,325,109,>
7685,room light,queen size bed,10,214,<
7686,broccoli piece,food container,2,139,<
7687,boogie board,beach,62,160,<
7688,sheep fur,adult sheep,25,93,<
7689,ski helmet,snow patch,31,94,<
7690,cow,grass clump,142,19,>
7691,lettering,jean,28,116,<
7692,bull horn,herd animal,16,199,<
7693,baby elephant,elephant toe,199,2,>
7694,skate shoe,jean,6,99,<
7695,powder snow,chin strap,201,4,>
7696,shoe,t-shirt,25,238,<
7697,refrigerator freezer,cabinet door,133,5,>
7698,tile,sink knob,146,15,>
7699,dress suit,pant,98,7,>
7700,utensil,table cloth,13,98,<
7701,pan,stove temperature knob,103,10,>
7702,toy animal,teddy bear nose,138,1,>
7703,canoe boat,part,169,12,>
7704,propeller plane,wing,155,17,>
7705,cage,bird,139,46,>
7706,tree trunk,cement bench,36,118,<
7707,ski track,ski coat,330,114,>
7708,horse leg,horse pulling carriage,5,120,<
7709,rain umbrella,shirt button,104,0,>
7710,cedar tree,apartment window,120,5,>
7711,backpack,safari hat,158,50,>
7712,cat dish,cat,23,91,<
7713,motorcycle,shirt,1395,272,>
7714,dog,freezer part,426,29,>
7715,teddy bear,shirt button,155,17,>
7716,styrofoam plate,cake,46,202,<
7717,iron balcony,glass window,155,16,>
7718,glass bus window,train wire,7,122,<
7719,passenger train,train destination sign,232,2,>
7720,sailboat,building,118,12,>
7721,sattelite dish,cabinet,17,96,<
7722,napkin,club sandwich,20,228,<
7723,kitty,cat eye,132,5,>
7724,door window,part,89,23,>
7725,herd animal,bush branch,150,25,>
7726,banana,grease spot,258,14,>
7727,park bench,bench arm,229,21,>
7728,mirror,part,402,36,>
7729,adult zebra,dirt field,33,92,<
7730,fruit bowl,lemon,379,92,>
7731,street lamp,ticket window,87,17,>
7732,fireplace,sofa,54,132,<
7733,pant skier,snowboarding pant,96,16,>
7734,motorcycle mirror,road side,21,152,<
7735,zebras tail,zoo animal,4,370,<
7736,snowboarder,snow pant,232,52,>
7737,kid umbrella,kid shirt,129,33,>
7738,part,speed boat,23,170,<
7739,street bench,nike shirt,199,84,>
7740,grass playing field,polo shirt,126,14,>
7741,kid shirt,flying kite,58,273,<
7742,crystal wine glass,plate table,44,110,<
7743,street clock,clock face number,1095,40,>
7744,bear cub,hind paw,173,3,>
7745,speed train,passenger train window,1465,45,>
7746,catcher,home base plate,103,11,>
7747,clock hour number,scale,0,114,<
7748,tree trunk,wire fence,55,187,<
7749,leaf,elephant,155,1776,<
7750,suitcase wheel,shell suitcase,0,113,<
7751,kitchen cabinet drawer,dishwasher,23,77,<
7752,book,bedside table,36,140,<
7753,train,jacket,148,62,>
7754,ski mountain,snow fence,116,47,>
7755,metal letter,bike wheel,2,106,<
7756,cheese bubble,cheese pizza,5,281,<
7757,top,stuff bear,36,191,<
7758,amtrak train,train engine number,261,3,>
7759,boat,swim shirt,165,68,>
7760,dish food,part,174,1,>
7761,town car,day time,0,199,<
7762,rubber ball,water bear,77,348,<
7763,table top,dinner table,26,177,<
7764,toilet seat lid,faucet,168,9,>
7765,motorcycle wheel,bike seat,110,16,>
7766,powder snow,tree top,194,31,>
7767,bus stop sign,brow tree,10,172,<
7768,door fridge,refrigerator magnet,174,2,>
7769,cell phone,girl hand,161,45,>
7770,eyeglass,duck eye,129,5,>
7771,baby cat,tuxedo cat,107,45,>
7772,kid,tennis ball,294,119,>
7773,home plate umpire,base coach,97,14,>
7774,bus,bus head light,852,78,>
7775,water body,foot,197,11,>
7776,brick,street bench,82,300,<
7777,forest,tree trunk,550,54,>
7778,building window,tree trunk,57,212,<
7779,bathroom toilet,toilet base,172,14,>
7780,work shirt,cardboard box,133,17,>
7781,stone,motorcycle,32,90,<
7782,person hand,sandwich plate,27,83,<
7783,stunt plane,airplane tail,134,0,>
7784,brick house,street sign,97,36,>
7785,branch,zoo animal,43,128,<
7786,draft horse,bridle,129,20,>
7787,elephant eye,baby,0,134,<
7788,toilet tank lid,toilet,29,295,<
7789,onion,fruit pile,31,162,<
7790,rail train,street light,209,19,>
7791,parking meter,neighborhood watch sign,176,9,>
7792,person arm,snowboard,6,470,<
7793,vase,kitchen window,36,131,<
7794,chain link fence,baseball batting helmet,214,8,>
7795,bush,elephant eye,304,3,>
7796,elephant tusk,herd,1,346,<
7797,bay horse,horse leg,1574,94,>
7798,alarm clock,bed blanket,0,215,<
7799,olive,onion pizza,34,299,<
7800,tan,book,142,42,>
7801,salt,soup bowl,7,108,<
7802,subway train,train light,262,8,>
7803,bench seat,shade tree,31,91,<
7804,clay tennis court,racket,175,53,>
7805,leg,skiing glove,78,31,>
7806,hotel room bed,night stand,201,13,>
7807,wing tip,delta plane,8,105,<
7808,window building,license plate,141,1,>
7809,fork,beer bottle,37,139,<
7810,horse,cowboy hat,1795,207,>
7811,shower head,bathroom window,29,286,<
7812,church building,tower top,233,10,>
7813,graffiti,motorcycle,20,101,<
7814,cow,barb wire,219,75,>
7815,table leg,mac laptop,25,144,<
7816,cat paw,shoe,8,98,<
7817,polo shirt,horse,85,939,<
7818,metal fence,kid,106,41,>
7819,shirt button,hat,30,92,<
7820,cop car,crosswalk sign,88,23,>
7821,sheep dog,dog statue,12,118,<
7822,subway train door,glass train window,94,38,>
7823,car tire,skateboard,2,102,<
7824,safari hat,draft horse,8,113,<
7825,skateboard person,person skateboard,45,204,<
7826,part,wave crest,16,160,<
7827,computer monitor,computer cpu,100,30,>
7828,stack,computer keyboard,81,229,<
7829,television,controll button,258,5,>
7830,tree,garbage truck,37,104,<
7831,window,t-shirt,31,96,<
7832,chrome sink,faucet,223,14,>
7833,fruit slice,banana,19,91,<
7834,traffic light,telephone wire,97,448,<
7835,dirt patch,elephant,67,387,<
7836,batter hand,tee shirt,40,106,<
7837,pair,bus bench,33,130,<
7838,group,safari hat,285,27,>
7839,kitchen floor tile,kitchen stove,53,134,<
7840,propeller airplane,runway sign,101,0,>
7841,paper towel,kitchen,4,164,<
7842,propeller,plane wheel,90,14,>
7843,dish food,penne pasta,92,18,>
7844,hand,wii,13,142,<
7845,water bird,boat,37,173,<
7846,end table,part,123,34,>
7847,elephant head,baby elephant,166,566,<
7848,hind leg,animal ear,609,51,>
7849,vase,petal,259,14,>
7850,crowd,tennis shirt,413,73,>
7851,dvd,tv,19,197,<
7852,nike shirt,park bench,31,90,<
7853,tv,vase,120,5,>
7854,food,napkin,151,43,>
7855,text,bus,12,116,<
7856,street light,downtown building,109,391,<
7857,tree,flower,619,134,>
7858,sport motorcycle,motorcycle helmet,572,16,>
7859,train window,freight train,20,441,<
7860,computer keyboard,glass,98,10,>
7861,office window,ben clock,34,205,<
7862,group,train window,98,8,>
7863,baseball game,baseball shoe,315,24,>
7864,mac laptop,bracelet,179,1,>
7865,downtown building,street sign pole,159,58,>
7866,tank top,skateboarder,16,92,<
7867,part,parliament building,14,175,<
7868,stripe,umbrella,10,136,<
7869,focus tree,street number,180,19,>
7870,suit jacket,dress shirt,627,205,>
7871,control key,coffee cup,3,163,<
7872,video game,pillow,178,0,>
7873,dirt,hat riding horse,42,111,<
7874,hat riding horse,saddle blanket,176,14,>
7875,window glass,building window,82,27,>
7876,front,mac book,161,48,>
7877,passenger train window,nose section,13,168,<
7878,water body,river bank,98,42,>
7879,kitchen cabinet,microwave door,114,23,>
7880,teddy,animal ear,212,22,>
7881,banana tree,banana stem,92,19,>
7882,part,motor boat,7,95,<
7883,city clock,gold,152,37,>
7884,capital letter,shuttle bus,5,217,<
7885,brick building,traffic arrow,131,11,>
7886,mouse,dog,1,153,<
7887,boogie board,board surfer,161,422,<
7888,tartar sauce,sandwich plate,33,376,<
7889,soccer shirt,base ball hat,211,33,>
7890,grass section,mom giraffe,32,108,<
7891,kitchen light,kitchen stove,52,195,<
7892,train wire,train headlight,115,0,>
7893,focus tree,nike hat,332,63,>
7894,glass part,book,62,191,<
7895,pant leg,chair bear,34,123,<
7896,silverware,ketchup bottle,27,92,<
7897,ski shoe,surfboard,22,216,<
7898,bus wheel,capital print letter,92,32,>
7899,airplane shadow,air front,79,23,>
7900,shirt button,suit shirt,15,220,<
7901,desktop,computer monitor,55,172,<
7902,fall leaf,bicycle,28,96,<
7903,building roof,bush tree,45,124,<
7904,wood headboard,pillow,289,92,>
7905,trash bag,pant,23,80,<
7906,cat fur,baby kitten,3,103,<
7907,bus front,train station building,27,169,<
7908,cat ear,toy dog,7,149,<
7909,story house,basement window,117,0,>
7910,bench,building window,139,7,>
7911,text,bus front,31,74,<
7912,cat,collar,288,20,>
7913,glass cake plate,vanilla cake,29,105,<
7914,leaf,wood chip,6,109,<
7915,iron leaf,cobblestone,40,108,<
7916,window glass,bus,23,85,<
7917,dirt,baseball sock,320,93,>
7918,adult bird,leaf,1574,370,>
7919,bus passenger window,sign letter,100,8,>
7920,collard shirt,mac book,111,24,>
7921,telephone pole,iron leaf,113,43,>
7922,bottom,restroom sink,37,96,<
7923,freight train,train engine headlight,616,9,>
7924,sun,ski slope,36,87,<
7925,soccer shirt,pair,706,124,>
7926,stove,kitchen,36,283,<
7927,mom giraffe,boulder rock,132,20,>
7928,street bike,part,116,15,>
7929,elephant tail,elephant,153,2514,<
7930,lunch meat,freezer part,259,21,>
7931,laptop mouse,mouse pad,105,275,<
7932,ear,cow head,30,835,<
7933,baby bear,fur,107,23,>
7934,sheep leg,group,5,447,<
7935,fruit sticker,banana,12,551,<
7936,room door,cat,22,87,<
7937,index finger,someone hand,61,437,<
7938,metal pole,brow tree,25,130,<
7939,bus wheel,city building,5,114,<
7940,shampoo,towel,3,105,<
7941,collard shirt,orange,152,58,>
7942,bat batter,sneaker,137,15,>
7943,traffic sign,building window,206,39,>
7944,air canada plane,plane wing,1118,226,>
7945,luggage vehicle,luggage,99,19,>
7946,base ball player,belt,481,12,>
7947,foot stool,sofa pillow,144,0,>
7948,baseball sock,batter shirt,63,258,<
7949,bottle label,beer bottle,1,205,<
7950,tier cake,cake top,221,25,>
7951,police horse,horse saddle,370,51,>
7952,building window,building awning,39,150,<
7953,fruit market,banana bunch,148,12,>
7954,woman head,sweater,20,150,<
7955,ski cap,snowboarder,26,163,<
7956,bed lamp,couch,19,95,<
7957,hand rail,bathroom toilet,19,104,<
7958,bag,train front,30,122,<
7959,fur hat,teddy bear,22,192,<
7960,zebras eye,field front,4,135,<
7961,volleyball,conifer tree,22,198,<
7962,airplane wing,sky plane,5,153,<
7963,food bowl,baby carrot,182,66,>
7964,wave,life vest,117,30,>
7965,thumb,freezer part,115,10,>
7966,body part,wave,19,340,<
7967,apartment building,street pole,93,9,>
7968,downhill skier,snow pole,102,19,>
7969,block letter,ski,7,196,<
7970,pole,bush,53,157,<
7971,train station sign,glass window,122,28,>
7972,edge,plane wing,12,130,<
7973,pant,bicycle,143,589,<
7974,mac keyboard,lap top,13,121,<
7975,wood table,stack,107,19,>
7976,traffic light,brick building,72,842,<
7977,brow tree,rock,359,90,>
7978,dirt path,cow,210,59,>
7979,ear,microphone,0,127,<
7980,belt,baseball bat,30,565,<
7981,animal ear,adult bear,0,192,<
7982,mane,bay horse,27,156,<
7983,bottle,shirt,32,188,<
7984,bus tire,taxi van,5,96,<
7985,horse,vase,21,79,<
7986,stem,glass vase,13,101,<
7987,street light,skateboarder,57,155,<
7988,horse jockey,horse riding helmet,110,3,>
7989,kitchen,bathroom trash,107,0,>
7990,pine branch,spruce tree,21,90,<
7991,car,sky kite,8,99,<
7992,skateboard,guy head,507,36,>
7993,road side,draft horse,16,101,<
7994,baseball bat,chainlink fence,57,142,<
7995,food,fruit pile,107,16,>
7996,brick apartment building,row window,513,8,>
7997,snowboard,glass window,123,5,>
7998,part,sofa bed,11,93,<
7999,cat reflection,mirror,43,367,<
8000,silk flower,couple,30,436,<
8001,sheep dog,baby horse,20,82,<
8002,bathroom tile,bath tub,22,152,<
8003,chicken,food plate,187,477,<
8004,queen size bed,night stand,154,2,>
8005,car top,bus headlight,95,13,>
8006,sea otter,frisbee,106,0,>
8007,egg,part,131,24,>
8008,jet,group,30,84,<
8009,snow,duck,111,15,>
8010,waterfront,life boat,39,140,<
8011,broccoli dish,freezer part,122,0,>
8012,pant,bottle,124,11,>
8013,handle bar,bike,14,186,<
8014,vase flower,glass pitcher,31,149,<
8015,hoodie,market umbrella,23,77,<
8016,surfer hand,dog,42,111,<
8017,food plate,broccoli,2207,692,>
8018,baseball player pant,umpire helmet,119,8,>
8019,pizza piece,tomato pizza,7,322,<
8020,pine leaf,nike shirt,10,99,<
8021,group,leaf,1028,130,>
8022,letter,tennis spectator,0,112,<
8023,tail wing,propeller plane,190,1032,<
8024,powder snow,ski sign,1976,537,>
8025,floor lamp,shag rug,52,221,<
8026,toilet side,shower curtain,14,243,<
8027,case letter,flip cellphone,3,136,<
8028,pillow,bathroom counter top,117,29,>
8029,motorcycle,handlebar,256,10,>
8030,clock face number,clock stand,2,103,<
8031,ear,sofa,9,125,<
8032,dog leg,ear,382,100,>
8033,stove front,tile,165,63,>
8034,chopping board,tomato,178,32,>
8035,brow tree,zebra stripe,625,195,>
8036,fire hydrant,hat,163,6,>
8037,foot,body wetsuit,8,218,<
8038,water bottle,dog,165,614,<
8039,clock time,clock face number,376,31,>
8040,brick building,license plate,320,2,>
8041,toilet,towel dispenser,102,12,>
8042,fire hydrant,truck window,82,19,>
8043,traffic signal,news van,25,113,<
8044,cedar tree,grass patch,87,16,>
8045,letter,apron,4,137,<
8046,counter top,mac laptop,37,95,<
8047,dinner plate,rice,151,26,>
8048,beach front,water body,67,189,<
8049,goat horn,adult sheep,0,103,<
8050,tennis,jacket,267,21,>
8051,flower,street clock,79,327,<
8052,tree,bus head light,223,27,>
8053,airplane,nike shirt,125,3,>
8054,clock face,portion,29,82,<
8055,beach front,part,219,34,>
8056,person arm,tennis court,27,433,<
8057,cop car,brick building,51,223,<
8058,camera phone,hand,150,34,>
8059,dress shirt,letter,166,10,>
8060,bed sheet,cat bed,36,104,<
8061,wrist band,polo shirt,1,153,<
